SCHOOL,SAT TOTAL 25th%,SAT TOTAL 75th%,ACT TOTAL 25th%,ACT TOTAL 75th%
Arizona State University,1110,1310,21,28
Babson College,1270,1450,27,32
Bard College,1220,1420,27,32
Barnard College,1370,1500,31,34
Bates College,1210,1420,27,33
Baylor University,1200,1350,26,31
Beloit College,1100,1290,21,29
Bennington College,1240,1360,25,31
Bentley University,1230,1410,27,31
Boston College,1350,1480,31,34
Boston University,1340,1460,30,34
Bowdoin College,1340,1510,30,34
Brandeis University,1350,1470,31,33
Brown University,1440,1550,33,35
Bryn Mawr College,1260,1470,26,32
Bucknell University,1230,1390,27,31
California Institute of Technology,1510,1570,35,36
Carleton College,1330,1530,30,34
Carnegie Mellon University,1460,1560,33,35
Case Western Reserve University,1350,1490,31,34
Chapman University,1180,1350,25,30
Claremont McKenna College,1330,1460,31,34
Clark University,1160,1360,27,32
Clemson University,1230,1380,27,32
Colby College,1390,1530,32,34
Colgate University,1300,1460,30,33
College of the Holy Cross,1300,1410,29,32
College of William and Mary,1300,1490,30,34
Colorado College,1260,1440,29,33
Columbia University,1500,1560,34,35
Connecticut College,1310,1420,30,33
Cooper Union for the Advancement of Science and Art,1305,1530,30,35
Cornell University,1410,1530,32,35
Dartmouth College,1430,1550,32,35
Davidson College,1310,1460,30,33
Denison University,1220,1430,28,32
DePaul University,1070,1280,23,27
Dickinson College,1250,1370,27,31
Duke University,1480,1570,33,35
Elon University,1160,1310,25,30
Emerson College,1200,1390,27,31
Emory University,1400,1510,31,34
Fordham University,1300,1450,29,33
Franklin and Marshall College,1250,1390,28,31
George Washington University,1290,1430,29,33
Georgetown University,1380,1530,31,35
Gettysburg College,1270,1410,27,32
Gonzaga University,1180,1330,25,30
Grinnell College,1370,1530,30,34
Grove City College,1130,1380,24,30
Hamilton College,1410,1500,32,34
Harvard College,1460,1580,33,35
Harvey Mudd College,1490,1560,34,35
Haverford College,1370,1510,32,35
Hendrix College,1150,1370,25,31
Hillsdale College,1290,1460,29,33
Howard University,1130,1260,22,26
"Indiana University, Bloomington",1150,1360,24,31
Johns Hopkins University,1470,1570,33,35
Kalamazoo College,1150,1360,25,30
Kenyon College,1280,1460,30,33
Lafayette College,1270,1420,28,33
Lawrence University,1210,1400,26,32
Lehigh University,1280,1420,29,33
Lewis & Clark College,1220,1363,27,31
Loyola Marymount University,1230,1380,27,31
"Loyola University, Chicago",1170,1370,25,31
"Loyola University, Maryland",1150,1310,25,30
Marquette University,1170,1320,25,30
Massachusetts Institute of Technology,1510,1570,34,36
Michigan State University,1110,1280,23,29
Middlebury College,1340,1520,31,34
Mount Holyoke College,1320,1450,27,30
Muhlenberg College,1170,1340,26,31
New College of Florida,1190,1365,25,30
